"Tenid","CondType","CondNo","Seq","CondText","CategoryId"
"P37/9109","Condition","1","1","All disturbances to the surface of the land made as a result of exploration, including costeans, drill pads, grid lines and access tracks, being backfilled and rehabilitated to the satisfaction of the Environmental Officer, DMIRS. Backfilling and rehabilitation being required no later than 6 months after excavation unless otherwise approved in writing by the Environmental Officer, DMIRS.",0
"M31/188","Endorsement","2","14","This mining lease authorises the mining of the land for all minerals as defined in Section 8 of the Mining Act 1978 with the exception of:
* Uranium ore;
* Iron, unless specifically authorised under Section 111 of the Act",0
"M70/1248","Condition","41","45","The lessee taking all such necessary precautions as may be indicated by the Director General, Department of Environment and Conservation to prevent the occurrence or spread of any fire within or adjacent to the leased area.",0
"E04/2276","Condition","5","5","The prior written consent of the Minister responsible for the Mining Act 1978 being obtained before commencing any exploration activities on the foreshore, seabed and navigable waters.",0
"G52/103","Condition","3","4","All topsoil being removed ahead of all mining operations and being stockpiled for later respreading or immediately respread as rehabilitation progresses.",0
"M15/1535","Endorsement","1","13","The lessee's attention is drawn to the provisions of the Aboriginal Heritage Act 1972 and any Regulations thereunder.",0
"M77/554","Condition","19","26","Placement of waste material must be such that the final footprint after rehabilitation will not be impacted upon by pit wall subsidence or be within the zone of pit instability.",0
"L24/136","Condition","15","18","No activity taking place to the detriment of all made roads.",0
"E47/1763","Endorsement","16","55","All activity within proclaimed public drinking water source areas shall comply with the current published version of the Department of Water's Quality Protection Note 25 Land Use Compatibility in Public Drinking Water Source Areas. Key issues that need to be considered within the Water Quality Protection Note are:
* All prospecting/exploration/activity in respect to licence purpose involving the storage, transport and use of toxic and hazardous substances (including human wastes) within public drinking water source areas is prohibited unless approved in writing by the Department of Water (DoW). 
* All prospecting/exploration/activity in respect to licence purpose is prohibited within any reservoir protection zone (an area two kilometres from the maximum storage level of a reservoir including the reservoir itself) or within a wellhead protection zone, unless approved in writing by the Department of Water (location of zones available from DoWs Water Source Protection Branch or regional office).
* Seek written advice from the DoW if handling, storing and/or using hydrocarbons and potentially hazardous substances.",0
"L47/333","Condition","6","6","To properly maintain the installations as directed by the Environmental Officer, Department of Mines and Petroleum.",0
"L27/55","Condition","7","7","The locations of the water containment structures are to be discussed with the pastoralist. Those structures must be adequately designed and must be rehabilitated after use.",0
"M70/1196","Condition","9","9","No interference with the Australian Telecommunications Commission microwave repeater station ray-line.",0
"L28/41","Condition","11","11","On the completion of the life of mining operations in connection with this licence the holder shall:
* remove all installations constructed pursuant to this licence; and
* on such areas cleared of natural growth by the holder or any of its agents, the holder shall plant trees and/or shrubs and/or any other plant as shall conform to the general pattern and type of growth in the area and as directed by the Environmental Officer, DMP and properly maintain same until the Environmental Officer advises regrowth is self supporting;
unless the Mining Registrar or the Minister responsible for the Mining Act 1978 orders or consents otherwise.",0
"E70/5173","Condition","9","9","No interference with the transmission line or the installations in connection therewith, and the rights of ingress to and egress from the facility being at all times preserved to the owners thereof.",0
"E38/1725","Condition","7","7","The rights of ingress to and egress from Miscellaneous Licence 38/76 being at all times preserved to the licensee and no interference with the purpose or installations connected to the licence.",0
"L77/141","Condition","11","14","The Licensee submitting to the Executive Director, Environment Division, DMP, a brief annual report outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programmes for the next 12 months. This report to be submitted each year in: 
* September",0
"G70/250","Endorsement","13","21","No mining/activities in respect to mining operations being carried out that may disrupt the natural flow of any waterway unless in accordance with a current licence to take surface water or permit to obstruct or interfere with beds of banks issued by the DoW.",0
"L26/264","Condition","23","24","The Licensee submitting to the Executive Director, Environment Division, DMP, a brief annual report outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programmes for the next 12 months. This report to be submitted each year in:
* November.",0
"M25/347","Condition","13","28","At the completion of operations, all buildings and structures being removed from site or demolished and buried to the satisfaction of the Director, Environment Division, DMP.",0
"M59/233","Condition","14","19","Any alteration or expansion of operations within the lease boundaries beyond that outlined in the above document(s) not commencing until a plan of operations and a programme to safeguard the environment are submitted to the Director, Environment, DoIR for his assessment and until his written approval to proceed has been obtained.",0
"L15/155","Condition","2","2","The construction and operation of the project and measures to protect the environment to be carried out generally in accordance with the document titled ""Flimiston Stage II, Water Supply Development - Notice of Intent"" dated February 1991 and retained on Mines Department File No. 1365/90.Where a difference exists between the above documents and the following conditions, then the following conditions shall prevail.",0
"M52/233","Condition","27","44","Wastes from ancilliary facilities such as maintenance workshops and laboratories being managed in a manner which minimises their detrimental effect on the surrounding environment. Practical measures such as protective bunding, skimmers, silt traps, neutralisation pits and petrol/oil traps being provided and maintained as appropriate.",0
"G52/110","Condition","5","6","All rubbish and scrap being progressively disposed of in a suitable manner.",0
"L36/145","Condition","23","27","Should a failure in an inspected pipeline be discovered, the discharge being ceased immediately and not resuming until the pipeline has been repaired. The Inspectorate Environmental and Rehabilitation Officer being notified within one week of the failure and provided with an estimate of total effluent volume lost due to the failure and a programme of corrective action.",0
"G70/244","Condition","15","15","All hydrocarbon or other pollutant spillage being reported to the Department of Water. Remediation being carried out to the satisfaction of the Department of Water.",0
"P27/2171","Endorsement","7","17","Advice shall be sought from the DoW if proposing any prospecting within a defined waterway and within a lateral distance of: 
* 50 metres from the outer-most water dependent vegetation of any perennial waterway, and
* 30 metres from the outer-most water dependent vegetation of any seasonal waterway.",0
"P20/2388","Condition","","7","Consent to Prospect on Execepted from Sale Reserve 10110 given.",0
"M80/474","Condition","23","30","The Lessee submitting to the Executive Director, Environment Division, DMP, a brief annual report outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programmes for the next 12 months. This report to be submitted each year in: 
* August.",0
"G26/160","Condition","3","4","The lessee submitting a plan of proposed operations and measures to safeguard the environment to the Executive Director, Environment Division, DMP for assessment and written approval prior to commencing any development or construction.",0
"M38/343","Condition","8","11","The rights of ingress to and egress from Miscellaneous Licences 38/42 and 38/43 being at all times preserved to the licensee and no interference with the purpose or installations connected to Miscellaneous Licences 38/42 and 38/43.",0
"P47/1669","Endorsement","11","21","No prospecting being carried out that may disrupt the natural flow of any waterway unless in accordance with a current licence to take surface water or permit to obstruct or interfere with beds or banks issued by the DoW.",0
"E70/5086","Condition","5","5","In areas of native vegetation within the tenement, no exploration activities commencing until the licensee provides a plan of management to prevent the spread of dieback disease (Phytophthera sp) to the Executive Director, Resource and Environmental Compliance, DMIRS for assessment and until his written approval has been received. All exploration activities shall then comply with the commitments made in the management plan.",0
"L28/58","Condition","3","3","All topsoil that may be removed ahead of pipelaying operations to be stockpiled for replacement in accordance with the directions of the Environmental Officer, DMIRS.",0
"M20/99","Condition","6","7","Mining on any road or road reserve being confined to below a depth of 15 metres from the natural surface.",0
"P26/4199","Condition","6","6","The rights of ingress to and egress from Miscellaneous Licence 26/252 being at all times preserved to the licensee and no interference with the purpose or installations connected to the licence.",0
"P20/2376","Condition","6","6","In respect of the area covered by this licence if the Wajarri Yamatji (being the applicants in Federal Court Application No/s. WAD6033/1998 send a request by pre-paid post to the licensee's or agent's address, not more than ninety days after the grant of this licence, the licensee shall within thirty days of the request execute in favour of Wajarri Yamatji the Regional Standard Heritage Agreement (RSHA) endorsed by peak industry groups and the Yamatji Marlpa Aborigianl Corporation.",0
"M16/560","Condition","6","6","The lessee submitting a plan of proposed operations and measures to safeguard the environment to the Executive Director, Resource and Environmental Compliance, Department of Mines, Industry Regulation and Safety for their assessment and written approval prior to commencing any developmental or productive mining or construction activity.",0
"P52/1565","Condition","7","8","The rights conferred by this Prospecting Licence may not be exercised until a Heritage Agreement (as defined in the Nharnuwangga Wajarri and Ngarlawangga Indigenous Land Use Agreement) has been entered into in respect of the Licence provided that this restriction only applies for so long as the Nharnuwangga Wajarri and Ngarlawangga Indigenous Land Use Agreement is in force.",0
"M16/25","Condition","7","10","Unless the written approval of the Environmental Officer, Department of Mines, Industry Regulation and Safety is first obtained, the use of drilling rigs, scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans is prohibited. Following approval, all topsoil being removed ahead of mining operations and separately stockpiled for replacement after backfilling and/or completion of operations.",0
"L08/105","Endorsement","12","59","No activity in respect to licence purpose being carried out that may disrupt the natural flow of any waterway unless in accordance with a current licence to take surface water or permit to obstruct or interfere with beds or banks issued by the DoW.",0
"M04/312","Endorsement","2","27","The land the subject of this lease affects an area under quarantine for Noogoora Burr (under the provisions of the Agriculture and Related Resources Protection Act 1976) delineated in red and shown as File Notation Area 320/321on the Public Plan. Access to the quarantine area is subject to the lessees obtaining an entry permit from the Kununurra Regional Office of the Agriculture Protection Board of Western Australia.",0
"M38/205","Condition","11","14","The existing well being maintained and if necessary protected from pollution.",0
"P15/6245","Condition","5","5","No interference with Geodetic Survey Station SSM-WID 53 and mining within 15 metres thereof being confined to below a depth of 15 metres from the natural surface.",0
"M27/22","Condition","27","37","Placement of waste material must be such that the final footprint after rehabilitation will not be impacted upon by pit wall subsidence or be within the zone of pit instability..",0
"E47/473","Endorsement","","31","The licensee pursuant to the approval of the Minister for State Development dated 14 May 2002 under Section 111 of the Mining Act 1978 is hereby authorised to explore for iron.",0
"L59/84","Condition","3","3","The Licensee submitting a plan of proposed operations and measures to safeguard the environment to the Director, Environment, DMP for assessment and written approval prior to commencing any development or construction.",0
"G47/1260","Condition","18","18","An annual environmental report is to be submitted to the Executive Director, Resource and Environmental Compliance, Department of Mines, Industry Regulation and Safety, outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programs for the next 12 months. This report is to be submitted each year in:
* April",0
"L47/713","Endorsement","11","33","Advice shall be sought from DoW and the relevant water service provider if proposing activity in respect to the licence purpose in an existing or designated future irrigation area, or within 50 meteres of a channel, drain or watercourse from which water is used for irrigation or any other purpose, and the proposed activity may impact water users.",0
"E45/4611","Endorsement","13","22","No exploration activity is to be carried out if:
* it may obstruct or interfere with the waters, bed or banks of a watercourse or wetland
* it relates to the taking or diversion of water, including diversion of the watercourse or wetland
unless in accordance with a permit issued by the DoW.",0
"P38/4416","Condition","6","6","The prior written consent of the Minister responsible for the Mining Act 1978 being obtained before commencing any prospecting activities on Water Act 57 Vic No 20 CR 9083.",0
"L15/387","Condition","3","3","The prior written consent of the Minister responsible for the Mining Act 1978 being obtained before commencing any activities in respect to the licence purposes on Road No. 917.",0
"M39/343","Condition","23","55","The Lessee submitting to the Executive Director, Environment Division, DMP, a brief annual report outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programmes for the next 12 months. This report to be submitted each year in: 
* June.",0
"E70/3674","Endorsement","1","16","The Licensee's attention is drawn to the provisions of the : 
* Aboriginal Heritage Act 1972 and any Regulations thereunder;
* Water and Rivers Commission Act 1995 and any Regulations thereunder; and
* Waterways Conservation Act 1976 and any Regulations thereunder.",0
"G59/12","Condition","23","23","The tailings facility shall be checked on a routine basis by site personnel.",0
"E77/2226","Condition","5","5","The rights of ingress to and egress from Miscellaneous Licence 77/255 [IF GRANTED] being at all times preserved to the licensee and no interference with the purpose or installations connected to the licence.",0
"M77/90","Condition","34","45","All activities being carried out in such a manner so as to not have a detrimental effect on the natural water flow through the lease and surrounding areas to the satisfaction of the Environmental Officer, DMP.",0
"L15/34","Condition","4","4","Ingress and egress of tenement holders to be preserved by the construction of vehicular access crossings constructed over any pipeline and all pre- existing roadways and tracks that are crossed by any pipeline.",0
"M51/374","Condition","9","12","No interference with Geodetic Survey Station K 5 ECCE and mining within 15 metres thereof being confined to below a depth of 15 metres from the natural surface.",0
"M16/524","Condition","11","11","Any alteration or expansion of operations within the lease boundaries beyond that outlined in the above document(s) not commencing until a plan of operations and a programme to safeguard the environment are submitted to the Director, Environment, DMP for his assessment and until his written approval to proceed has been obtained.",0
"E47/3118","Condition","8","9","Prior to any ground-disturbing activity, as defined by the Executive Director, Environment Division, DMP the licensee preparing a detailed program for each phase of proposed exploration for approval of the Executive Director, Environment Division, DMP. The program to include:
* maps and/or aerial photographs showing all proposed routes, construction and upgrading of tracks, camps, drill sites and any other disturbances;
* the purpose, specifications and life of all proposed disturbances;
* proposals which may disturb any declared rare or geographically restricted flora and fauna; and
* techniques, prescriptions and timetable for the rehabilitation of all proposed disturbances",0
"M46/437","Condition","15","16","Petroleum hydrocarbon and other chemical storage areas being appropriately contained using bunded retention compounds incorporating stormwater disposal and the removal of sediments.",0
"P24/5028","Condition","6","6","The rights of ingress to and egress from Miscellaneous Licence 24/204 being at all times preserved to the licensee and no interference with the purpose or installations connected to the licence.",0
"P47/1881","Endorsement","11","27","Advice shall be sought from the Department of Water and Environmental Regulation (DWER) and the relevant water service provider if proposing prospecting activity in an existing or designated future irrigation area, or within 50 meteres of a channel, drain or watercourse from which water is used for irrigation or any other purpose, and the proposed activity may impact water users.",0
"E47/13","Condition","1","1","The complete excision of Mineral Leases 45/509 and 45/510 with rights of ingress to and egress from the ground comprised therein being at all times preserved to the lessee thereof.",0
"M20/506","Condition","20","36","The lessee diverting storm water runoff away from areas adjacent to waste management facilities to maintain the threat of accidental loss of stored matter due to flooding or erosion.",0
"P29/2245","Condition","13","13","No explosives being used or stored within one hundred and fifty (150) metres of the rail corridor land without the prior written consent of the Director, Dangerous Goods Safety Branch, DMP.",0
"M74/246","Endorsement","9","21","Advice shall be sought from the DoW if proposing any mining/activity in respect to mining operations within a defined waterway and within a lateral distance of: 
* 50 metres from the outer-most water dependent vegetation of any perennial waterway, and
* 30 metres from the outer-most water dependent vegetation of any seasonal waterway.",0
"L53/198","Condition","8","8","All waste materials, rubbish, plastic sample bags, abandoned equipment and temporary buildings being removed from the licence area prior to or at the termination of exploration program",0
"M59/268","Condition","17","25","A Mine Closure Plan is to be submitted in the Annual Environmental Reporting month specified in tenement conditions in the year specified below, unless otherwise directed by an Environmental Officer, DMP. The Mine Closure Plan is to be prepared in accordance with the ""Guidelines for Preparing Mine Closure Plans"" available on DMP's website:
* 2018",0
"M74/108","Condition","2","2","All surface holes drilled for the purposes of exploration are to be capped, filled or otherwise made safe after completion.",0
"G52/113","Endorsement","7","30","Pursuant to Clause 8(2a)(a) this lease, by the approval of the Minister for State Development, is held pursuant to the provisions of the Iron Ore (Mount Newman) Agreement Act 1964.",0
"M77/133","Condition","3","3","No developmental or productive mining being commenced until the tenement holder has submitted a plan of the proposed operations and measures to safeguard the environment to the Director, Environment, DoIR for assessment; and until his written approval has been obtained.",0
"G52/163","Condition","18","22","Any alteration or expansion of operations within the lease boundaries beyond that outlined in the above document(s) is not to commence until a plan of operations and a programme to safeguard the environment are submitted to the Director, Environment, DoIR for his assessment and until his written approval to proceed has been obtained.",0
"G47/1226","Endorsement","4","9","The grant of this lease has been made in accordance with the Hamersley/Eastern Guruma Indigenous Land Use Agreement between the State of Western Australia, Peter Stevens, Nelson Hughes, Eva Connors, Guruma Mali Wartu Aboriginal Corporation, Hamersley Iron Pty Ltd and Rio Tinto Exploration Pty Ltd dated 27 November 2002 registered under the Native Title Act 1993 on 5 March 2004.",0
"E45/4689","Condition","9","9","No activities being carried out within the proposed railway corridor (designated FNA 10120 & 12672) that interfere with or restrict any rail route investigation activities being undertaken by the rail line proponent.",0
"E47/1504","Condition","6","7","The licensee immediately contacting the Incident Manager, Water Corporation in the event of any contaminant spills or incidents within the Reserve.",0
"E38/3106","Condition","3","3","The rights of ingress to and egress from Miscellaneous Licence 38/246 being at all times preserved to the licensee and no interference with the purpose or installations connected to the licence.",0
"L38/20","Condition","22","25","Management of mine closure to be undertaken in accordance with the Mine Closure Plan (Reg ID 83592) “Duketon Gold Project Legacy Sites Mine Closure Plan” dated 13 November 2019 signed by Jim Beyer – Managing Director and Chief Executive Officer, and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MPMCP-83592 as Doc ID 6983961.",0
"E08/2912","Condition","6","6","The rights of ingress to and egress from Pastoral Lease N049500 being at all times preserved to the lessee or sub-lessee as the case may be and no interference with the purpose or installations connected to the lease.",0
"M39/560","Condition","4","5","All waste materials, rubbish, plastic sample bags, abandoned equipment and temporary buildings being removed from the mining tenement prior to or at the termination of exploration programme.",0
"E47/421","Endorsement","6","29","The storage and disposal of petroleum hydrocarbons, chemicals and potentially hazardous substances being in accordance with the current published version of the Department of Water's relevant Water Quality Protection Notes and Guidelines for mining and mineral processing.",0
"G45/331","Endorsement","2","16","The grant of the lease being confined to the natural surface of the land and thereunder to a depth of 15 metres.",0
"E09/2309","Condition","13","13","Such further conditions as may from time to time be imposed by the Minister responsible for the Mining Act 1978 for the purposes of protecting the pipeline and any existing condition imposed for this purpose may be cancelled or varied.",0
"M36/111","Condition","22","37","No mining operations being carried out which could cause disturbance to or restrict the use of trafficable roads.",0
"M37/358","Condition","19","26","On the completion of operations or progressively where possible, all waste dumps, tailings storage facilities, stockpiles or other mining related landforms must be rehabilitated to form safe, stable, non-polluting structures which are integrated with the surrounding landscape and support self sustaining, functional ecosystems comprising suitable, local provenance species or alternative agreed outcome to the satisfaction of the Executive Director, Environment Division, DMP.",0
"L70/185","Endorsement","6","11","Any expansion beyond activities associated with the search for groundwater is to be subject to an appropriate form of miscellaneous licence.",0
"L47/664","Condition","13","13","Wherever any part of a road intersects an existing fence, the holder shall where necessary construct a gate or livestock grid having such dimensions and be constructed of such materials and be of such standard as agreed with the pastoralist or as determined by the Environmental Officer, DMP.",0
"P52/1434","Condition","6","7","The holder from time to time of this Prospecting Licence shall not so long as the Nharnuwangga Wajarri and Ngarlawangga Indigenous Land Use Agreement is in force carry out an exploration activity (as defined in the Nharnuwangga Wajarri and Ngarlawangga Indigenous Land Use Agreement) other than in accordance with the Heritage Agreement.",0
"L46/45","Condition","3","4","Written notification, where practicable, of the time frame, type and extent of proposed ground disturbing activities being forwarded to the Department of Environment Karratha seven days prior to commencement of those activities.",0
"L38/53","Condition","15","15","Authorised officers of the Minister for Water Resources being permitted at all reasonable times to enter onto the mining tenement for the purposes of inspection and for water source investigation as provided for in the Public Works Act, as amended.",0
"M24/711","Condition","10","13","The construction and operation of the project and measures to protect the environment to be carried out in accordance with the document titled:
* (MCP Reg ID 79359) ""Ora Banda Mine Closure Plan"" dated 29 March 2019 signed by Russel Browning, and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MCP-79359 as Doc ID 6426749
Where a difference exists between the above document(s) and the following conditions, then the following conditions shall prevail.",0
"E45/5454","Condition","7","7","Mining on a strip of land 30 metres wide with the Rabbit Proof Fence No.1 Reserve 12297 and Protection of Rabbit Proof Fence Reserve 15540 as the centre-line being restricted to below a depth of 15 metres from the natural surface.",0
"M24/270","Condition","15","34","All rubbish, abandoned equipment, buildings, scrap and other debris being removed from site and disposed of in a manner agreeable to the Environmental Officer. The area is to be left in a clean and tidy state to the satisfaction of the Environmental Officer.",0
"P26/4002","Condition","18","18","No interference with the drainage pattern, and no parking, storage or movement of equipment or vehicles used in the course of mining within the Safety Zone established by Condition 16 hereof without the prior approval of the operators of the Pipeline Licence 27.",0
"E52/3407","Condition","5","6","Prior to the cessation of exploration/prospecting activity the licensee notifying the Environmental Officer, DMP and arranging an inspection as required.",0
"M74/173","Endorsement","3","48","The grant of this Lease does not include any private land referred to in Section 29(2) of the Mining Act 1978 except that below 30 metres from the natural surface of the land.",0
"G52/165","Endorsement","1","24","The lessee's attention is drawn to the provisions of the Aboriginal Heritage Act, 1972.",0
"E45/4550","Condition","10","10","No interference with the drainage pattern, and no parking, storage or movement of equipment or vehicles used in the course of mining within the Safety Zone established by Condition 8 hereof without the prior approval of the operators of the Gas/Petroleum pipeline.",0
"P80/1842","Endorsement","9","16","The taking of surface water from a watercourse or wetland is prohibited unless a current licence has been issued by DoW.",0
"E08/1227","Endorsement","1","25","Pursuant to the Savings and Transitional Provisions of the Mining Amendment Acts 1990 and 1994 all land surrendered, forfeited (other than forfeiture by plaint action) or expiring from a non-graticular exploration licence will either:
* Automatically be included into a graticular exploration licence, provided the surrender, forfeiture or expiry occurred after the grant of the graticular licence; or
* Automatically be included into an application for a graticular exploration licence provided the surrender, forfeiture or expiry occurred after 14 October 1995.",0
"P15/5625","Condition","17","21","Rights being reserved to persons authorised by the Director General, Department of Parks and Wildlife to enter the licence and carry out land management operations and other duties and exercise such powers as may be necessary or expedient for the administration of the Conservation and Land Management Act 1984 and Regulations, the Wildlife Conservation Act 1950 and Regulations, the Bush Fires Act 1954 and Regulations and the Emergency Management Act 2005 and Regulations provided that such entry shall not, in the opinion of the Executive Director, Environment Division Department of Mines and Petroleum and the Director General, Department of Parks and Wildlife, unduly prejudice or interfere with the tenement holder's operations.",0
"L21/18","Condition","20","20","Pipelines carrying dewatering effluent, saline groundwater from borefields, or process waters to and from tailings impoundments being fitted with automatic shutoff devices to prevent flow of effluent and waters to the environment in the event of systems failure.",0
"L69/34","Condition","29","29","A Mine Closure Plan is to be submitted in the Annual Environmental Reporting month specified in tenement conditions in the year specified below, unless otherwise directed by the Executive Director Resource and Environmental Compliance Division, Department of Mines, Industry Regulation and Safety. The Mine Closure Plan is to be prepared in accordance with the Department's ""Guidelines for Preparing Mine Closure Plans"":
* 2022",0
"M45/689","Condition","18","22","A Mine Closure Plan is to be submitted in the Annual Environmental Reporting month specified in tenement conditions in the year specified below, unless otherwise directed by an Environmental Officer, DMIRS. The Mine Closure Plan is to be prepared in accordance with the ""Guidelines for Preparing Mine Closure Plans"" available on DMIRS's website:
* 2022",0
"L46/33","Condition","14","16","Existing tracks being used where possible. The written approval being obtained from WRC prior to constructing any new vehicle access tracks or roads.",0
"L46/122","Condition","1","2","Carrying out activities associated with the Licence purpose, on the Nullagine Water Reserve located within the subject mining tenement boundaries is granted under the Mining Act 1978.",0
"M70/204","Condition","10","10","No mining on Camping & Water Reserve No 15126 without the prior written consent of the Minister for Minerals and Energy.",0
"E77/2290","Condition","8","8","No interference with Geodetic Survey Station SSM-SOUTHERN CROSS 5 and mining within 15 metres thereof being confined to below a depth of 15 metres from the natural surface.",0
"E70/4776","Endorsement","4","10","The land the subject of this Licence may affect a Threatened Ecological Community. The Licensee is advised to contact the Department of Environment and Conservation's Threatened Species and Communities Unit for detailed information on management.",0
"L77/65","Condition","26","28","The licensee visually inspecting for evidence of pipeline failure the ground surrounding the dewatering effluent and saline groundwater supply pipelines at a minimum frequency of once per week.",0
"M70/611","Condition","22","26","The lessee at his expense rehabilitating all areas affected by mining or operations associated with mining conducted during the term of the lease, including the rehabilitation enrichment of dieback or other forest disease affected areas, resulting from the lessees mining or operations associated with mining. Rehabilitation being to the satisfaction of the Regional Mining Engineer and in agreement with the Regional Manager CALM.",0
"E20/492","Condition","7","7","The prior written consent of the Minister responsible for the Mining Act 1978 being obtained before commencing mining on Use & Benefit Of Aborigines Reserves 16670 & 21805.",0
"M53/105","Condition","10","13","The complete excision of Gold Mining Lease 53/809 with rights of ingress to and egress from the ground comprised therein being at all times preserved to the lessees thereof.",0
"M53/52","Condition","14","17","All trenches, sumps and pits (apart from the opencuts) being backfilled and revegetated.",0
"M45/1157","Condition","42","56","At the completion of operations or progressively where possible, all waste dumps must be rehabilitated to form safe, stable, non polluting landforms which are integrated with the surrounding landscape and support selft-sustaining, functional ecosystems comprising native providence species to the satisfaction of an Environmental Officer, department of Industry and Resources (DoIR).",0
"L26/254","Condition","22","26","At the completion of operations, all buildings and structures being removed from site or demolished and buried to the satisfaction of the Executive Director, Environment Division, DMP.",0
"M77/389","Condition","9","12","The Lessee submitting to the Executive Director, Environment Division, DMP, a brief annual report outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programmes for the next 12 months. This report to be submitted each year in:
* September.",0
"L39/135","Condition","16","18","To construct a fence around all wells, bores, storage tanks, pumping stations and any other installations as determined by the Inspector having such dimensions and to be constructed of such materials and be of such standard as determined by the Inspector.",0
"L47/360","Condition","30","34","The development and operation of the project being carried out in such a manner so as to create the minimum practicable disturbance to the existing vegetation and natural landform, to the satisfaction of an Environmental Officer, DMP.",0
"M40/61","Condition","26","32","Access to the surface of land within Kookynie Townsite for mining purposes being subject to the approval of the local Authority or relevant reserve vestees, and mining activities within the first 100 metres below the surface of the land being limited to such exploration activities as may be approved by the State Mining Engineer.",0
"M70/536","Condition","8","11","Compliance with the Land Drainage Act, 1925 and the Rights in Water and Irrigation Act, 1914 as amended.",0
"M25/75","Condition","30","38","Placement of waste material must be such that the final footprint after rehabilitation will not be impacted upon by pit wall subsidence or be within the zone of pit instability, to the satisfaction of the Executive Director, Environment Division, DMP.",0
"M29/429","Condition","9","9","All topsoil and vegetation being removed ahead of all mining operations and being stockpiled appropriately for later respreading or immediately respread as rehabilitation progresses.",0
"M45/600","Condition","25","39","The Lessee taking all responsible measures to prevent or minimise the generation of dust from all materials handling operations, stockpiles, open areas and transport activities;",0
"P24/4967","Condition","11","11","No explosives being used or stored within one hundred and fifty (150) metres of the Pipeline Licence 24 without the prior written consent of the Director Petroleum DMP.",0
"L24/115","Condition","6","6","Ingress and egress of pastoralists and tenement holders to be preserved by the construction of vehicular access crossings over any pipeline constructed to this licence.",0
"L47/801","Condition","15","16","The electrical installation shall meet the requirements of relevant on-site conditions and be carried out to the satisfaction of the Special Inspector of Mines - Electrical, DMIRS.",0
"L45/92","Condition","18","19","On the completion of operations or progressively when possible, all waste dumps, tailings storage facilities, stockpiles or other mining related landforms must be rehabilitated to form safe, stable, non-polluting structures which are integrated with the surrounding landscape and support self-sustaining, functional ecosystems comprising suitable, local provenance species or an alternative agreed outcome to the satisfaction of an Environmental Officer, DMP.",0
"L37/145","Condition","13","13","At the direction of the District Inspector of Mines the holder shall clear such area about any powerline as determined by the Inspector of any dry or other growth considered by the Inspector to be a potential risk for fire or for any other reason the Inspector may deem is necessary.",0
"M15/432","Condition","12","15","The construction and operation of the project and measures to protect the environment being carried out generally in accordance with the document titled:
* ""Notice of Intent - Argo Stage lll - Variation 6"" dated 6 September 2001 and signed by Mr Luke Tonkin, General Manager for St Ives Gold (NOI 3783) and retained on Department of Mineral and Petroleum Resources File No. 4289/01;
* (Reg ID 62617) ""St Ives Gold Mine 2016 Mine Closure Plan"" dated 12 December 2016 signed by Graeme Ovens – General Manager and retained on Department of Mines, Industry Regulation and Safety file no. EARS-MCP-62617 as Doc ID 4705760
Where a difference exists between the above document(s) and the following conditions, then the following conditions shall prevail.",0
"M15/1660","Condition","16","18","At the completion of operations, all buildings and structures being removed from site or demolished and buried to the satisfaction of the Environmental Officer, DoIR.",0
"L45/167","Endorsement","13","28","Advice shall be sought from DoW to determine if a permit is required prior to undertaking any activity in respect to the licence purpose which may obstruct or interfere with the waters, bed or banks of a watercourse, wetland or other surface water body under section 117 of the Rights in Water and irrigation Act 1914.",0
"E47/3632","Condition","15","16","Written notification, where practicable, of the time frame, type and extent of proposed ground disturbing activities being forwarded to Water Corporation, Karratha, six weeks prior to commencement of those activities.",0
"E70/2512","Endorsement","2","27","The licensee pursuant to the approval of the Minister for State Development under Section 111 of the Mining Act 1978 is authorised to explore for iron.",0
"L37/135","Endorsement","1","31","The licensee's attention is drawn to the provisions of:
* Aboriginal Heritage Act 1972 and any Regulations thereunder; and
* Rights in Water and Irrigation Act 1914 and any Regulations thereunder.",0
"G36/51","Condition","13","13","Placement of waste material must be such that the final footprint after rehabilitation will not be impacted upon by pit wall subsidence or be within the zone of pit instability to the satisfaction of the Executive Director, Resource and Environmental Compliance, Department of Mines, Industry Regulation and Safety.",0
"L52/152","Condition","24","25","All topsoil and vegetation being removed ahead of all mining operations and being stockpiled appropriately for later respreading or immediately respread as rehabilitation progresses.",0
